Geodipsas infralineata,zzs091,個体
Zonosaurus aeneus,zzs092,個体
Uroplatus phantacticus,zzs093,個体
Calumma brevicornis,zzs094-zzs096,個体
Calumma oshaughnessyi,zzs095,個体
Uroplatus phantacticus,zzs097,個体
Calumma willsii,zzs098,個体
Tachylepis aureopunctata,zzs099,個体
Hemidactylus mercatorius,zzs100,個体
Tracheloptychus madagascariensis,zzs101,個体
Zonosaurus trilineatus,zzs102,個体
Dromicodryas bernieri,zzs103,個体
Pyxis arachnoides,zzs104-zzs105-zzs106,個体
Phelsuma mutablilis,zzs107-zzs108,個体
Furcifer verrcosus,zzs109,個体
Paroedura androyensis,zzs110,個体
Oplurus saxicola,zzs111,個体
Gekkolepis typica,zzs112,個体
Paroedura bastardi,zzs113,個体
Amphiglossus cf. polleni,zzs114,個体
Heteroliodon occipitalis,zzs115,個体
Furcifer lateralis,zzs116,個体
Amphiglossus igneocaudatus,zzs117,個体
Trachylepis vato,zzs118,個体
Phelsuma breviceps,zzs119,個体
Lygodactylus pictus,zzs120,個体
トビトカゲの威嚇ディスプレイ(1),zet001,個体
トビトカゲの威嚇ディスプレイ(2),zet002,個体
ボルネオにおけるトビトカゲの社会行動(1),zet003,個体
ボルネオにおけるトビトカゲの社会行動(2),zet004,個体
ボルネオにおけるトビトカゲの社会行動(3),zet005,個体
ボルネオにおけるトビトカゲの社会行動(4),zet006,個体
トビトカゲの翼の仕組みと色,zet007,個体
ヤマカガシの頸腺を用いた防御ディスプレイ,zet008,個体
エサをめぐるアカマタの闘争行動(1),zet009,個体
エサをめぐるアカマタの闘争行動(2),zet010,個体
アカマタのウミガメ捕食行動(1),zet011,個体
アカマタのウミガメ捕食行動(2),zet012,個体
トカゲの尾の自切による捕食回避,zet013,個体
ナゴヤダルマガエルのメスの鳴き声,zet014,個体
トノサマガエルのメスの鳴き声,zet015,個体
トノサマガエルの産卵,zet016,個体
ブラ―ミニメクラヘビによるシロアリの頭部切断行動,zae001,個体
ヤマカガシの対捕食者行動,zae002,個体
キュヴィエブキオトカゲの闘争,zae003,個体
キュヴィエブキオトカゲの産卵,zae004,個体
ウスタレカメオンの産卵,zae005,個体
ウスタレカメレオンの卵を食べるマダガスカルオオシシバナヘビ (1),zae006,個体
ウスタレカメレオンの卵を食べるマダガスカルオオシシバナヘビ (2),zae007,個体
マダガスカルオオシシバナヘビの餌探索行動,zae008,個体
ナガレガエルの足旗行動,zae009,個体
ヤマカガシにおける妊娠中の食性の変化,zae010,個体
アカハライモリをくわえたシマヘビの死体,zae011,個体
コウガイビルによるブラ―ミニメクラヘビの捕食行動,zae012,個体
マイマイカブリの地理的変異,zae013,個体
シュリマイマイに対するイワサキセダカヘビの捕食成功,zae014,個体
リュウキュウヒダリマキマイマイに対するイワサキセダカヘビの捕食失敗,zae015,個体
イッシキマイマイに対するイワサキセダカヘビの捕食失敗,zae016,個体
金華山におけるニホンザルの抱擁行動,zhe001,個体
屋久島におけるニホンザルの抱擁行動（体側型）,zhe002,個体
屋久島におけるニホンザルの抱擁行動（対面型）,zhe003,個体
小豆島銚子渓におけるニホンザルの頬袋からの餌強奪行動,zhe004,個体
小豆島銚子渓のニホンザルが作る非常に大きなサル団子,zhe005,個体
小豆島銚子渓のニホンザルによる相互毛づくろい,zhe006,個体
小豆島銚子渓のニホンザルによる3頭の同時毛づくろい,zhe007,個体
小豆島銚子渓のオトナメスによる石遊び,zhe008,個体
嵐山のオトナメスによる石遊び,zhe009,個体
嵐山における出産後12時間以内のニホンザルの新生児,zhe010,個体
屋久島におけるニホンザルオスのマスターベーション,zhe012,個体
屋久島におけるニホンザルオスのマスターベーションで射精した精液の採食,zhe013,個体
屋久島におけるニホンザルとニホンジカの一時的混群,zhe015,個体
屋久島の超高齢オスニホンザル,zhe016,個体
屋久島のニホンザルコドモのひとり水遊び,zhe017,個体
金華山島のニホンザルのコドモ間で見られた物体を巡って生じる追いかけっこ,zhe018,個体
下北半島南西部の老齢ニホンザルメス,zhe019,個体
コスタリカ・サンタロサのジョフロイクモザルにおけるメス間の攻撃交渉,zhe021,個体
コスタリカ・サンタロサのジョフロイクモザルのセミブラキエーション,zhe022,個体
コスタリカ・サンタロサのノドジロオマキザルの警戒音,zhe023,個体
コスタリカ・サンタロサのノドジロオマキザルの地上昆虫食,zhe024,個体
コスタリカ・サンタロサのマントホエザルの交尾,zhe025,個体
コスタリカ・サンタロサのマントホエザルのラウドコール,zhe026,個体
カメルーン・カラマルエのパタスモンキーにおける母親同士の乳母行動,zhe027,個体
カメルーン・カラマルエのパタスモンキーのオトナメスからハレムリーダーオスへの毛づくろい,zhe028,個体
カメルーン・カラマルエにおいてタマリンドの樹上で日中休息するパタスモンキー,zhe029,個体
カメルーン・カラマルエのコドモのパタスモンキーによるスイレンの花の採食,zhe030,個体
カメルーン・カラマルエのタンタルスモンキーにおける母親同士の乳母行動,zhe031,個体
カメルーン・カラマルエのタンタルスーオスの警戒音,zhe032,個体
タイ・カオサムロイヨットにおけるダスキールトンの豆の葉食,zhe033,個体
タイ・カオサムロイヨットのカニクイザルのオトナオス,zhe034,個体
タイ・カオカップ寺院の仏像の周囲に座るベニガオザル,zhe035,個体
ボルネオオランウータンの枯れ枝割りと昆虫食,zhe036,個体
ボルネオオランウータン母子の食物移動,zhe037,個体
積雪のなか日向ぼっこをするニホンザル,zhe038,個体
積雪のなか互いに身を寄せあって休息するニホンザル,zhe039,個体
吹雪のなか互いに身を寄せあうニホンザル,zhe040,個体
マハレ山塊国立公園のチンパンジのオトナオス,zhe041,個体
マハレ山塊国立公園の3歳のアカンボウのチンパンジー,zhe042,個体
休息するロエストモンキー,zhe043,個体
休息するレッドテイルモンキー,zhe044,個体
休息するブルーモンキー,zhe045,個体
マハレ山塊国立公園におけるチンパンジー の対角毛づくろい,zhe046,個体
マハレ山塊国立公園におけるチンパンジー の三者間毛づくろい,zhe047,個体
マハレ山塊国立公園におけるチンパンジー のメスの腫脹した性皮,zhe048,個体
マハレ山塊国立公園におけるチンパンジーのオスへの挨拶行動,zhe049,個体
マハレ山塊国立公園におけるレモンを食べるチンパンジー,zhe050,個体
アカンボウを運ぶチンパンジー母親,zhe051,個体
手を伸ばしてオスに挨拶するチンパンジーのメス。,zhe052,個体
チンパンジーの対角毛づくろい,zhe053,個体
チンパンジーの道具使用,zhe054,個体
チンパンジーの岩なめ行動,zhe056,個体
ミリアントゥスの果実を採食するチンパンジーのオトナオス,zhe057,個体
アフリカショウガの髄を採食するチンパンジーのコドモメス,zhe058,個体
ツルでブランコ遊びをするチンパンジーのコドモメス,zhe059,個体
鹿児島県屋久島でヤマモモの未熟果を採食するニホンザル,zhe061,個体
鹿児島県屋久島に生息するニホンザルでみられた4個体を含む社会的毛づくろい,zhe062,個体
口之永良部島新岳の噴火による降灰とヤクシマザル,zhe063,個体
遠視の老齢ニホンザルによる毛づくろい行動,zhe064,個体
海藻を食べる金華山島のニホンザル,zhe066,個体
冬期に樹皮を採食する白山麓のニホンザル,zhe067,個体
雪の中を移動するニホンザルの親子,zhe068,個体
温泉に入る地獄谷のニホンザル,zhe070,個体
ニホンザルにおけるグルーミングの開始と交代,zhe071,個体
石を疑似採食するニホンザルのコドモ,zhe072,個体
嵐山のニホンザルオトナメスの石遊び,zhe073,個体
ハイナンアカゲザルのオトナオス,zhe074,個体
ハイナンアカゲザルのマウンティング行動,zhe075,個体
石灰岩の崖で休息するフランソワルトンの一群,zhe076,個体
ヒョウのオトナオス,zhe080,個体
キイロヒヒのグルーミング,zhe081,個体
ツメナシカワウソ,zhe082,個体
アフリカヒョウが捕食したブッシュピッグ,zhe083,個体
アフリカヒョウの糞,zhe084,個体
Phyllanthus emblicaの果実,bps001-bps002-bps003,個体
Utricularia salwinensisの花,bps007,個体
Meconpsis racemosaの花,bps021,個体
Megacodon stylophorusの花,bps028,個体
テンナンショウ属の一種の花,bps032,個体
Aletris paucifloraの花,bps033-bps034,個体
Aletris glabraの花,bps040,個体
Lloydia yunnanensisの花,bps041,個体
Parnassia nubicolaの花,bps042-bps043,個体
Thalictrum delavayiの花,bps044-bps045,個体
Ophiopogon bodinieriの花,bps054-bps055,個体
Aletris paucifloraの花,bps056,個体
Aletris paucifloraの花,bps059,個体
Meconpsis racemosaの花,bps063,個体
Silene nigrescensの花,bps064,個体
Corydalis melanochloraの花,bps066-bps067,個体
Draba involucrataの花,bps068,個体
Soroseris hookerianaの花,bps069-bps070,個体
Polygonatum dolichocarpumの若い果実,bps071,個体
Balanophora laxifloraの花,bps072-bps073-bps074-bps075-bps076-bps077,個体
Roscoea schneiderianaの花,bps078,個体
Habenaria humidicolaの花,bps092,個体
Dolomiaea berardioideaの花,bps093-bps094,個体
Lloydia yunnanensisの花,bps096,個体
Rhododendron decorumの花,bps097-bps098,個体
シャガの花と果実,bps106-bps107,個体
ユクノキの花,bps117-bps118,個体
ホウチャクソウの蕾,bps124,個体
ヒメナベワリの花,bps128-bps129-bps130,個体
ツクシショウジョウバカマの果実,bps131-bps132-bps133,個体
ミヤマカタバミの花,bps134-bps135-bps136,個体
ミヤマカタバミの花,bps140,個体
ツマトリソウの花,bps145,個体
イチリンソウの花,bps148,個体
モズの早贄,bps149-bps150,個体
オオミスジコウガイビル,bps161-bps162,個体
フタリシズカの花,bps178,個体
コナスビの花,bps184-bps185-bps196,個体
シマイボクサの花,bps190-bps191,個体
トベラの花,bps192,個体
ナンゴクホウチャクソウの花,bps195,個体
イワベンケイの花,bps204-bps206,個体
チシマアマナの花,bps205-bps207,個体
ハクサンイチゲの花,bps215,個体
オガラバナの花,bps220,個体
オサバグサの花,bps224,個体
ミツバオウレンの花,bps226,個体
セリバシオガマの花,bps228,個体
イワカガミの花,bps229,個体
ツガザクラの花,bps230,個体
ハイマツ,bps231,個体
コケモモの花,bps236,個体
チシマアマナの花,bps239-bps240-bps243,個体
ハクサンイチゲの花,bps241-bps244,個体
コキンバイザサの花,bps251-bps252-bps253-bps257,個体
Chlorophytum subundulatumの花,bps254-bps255-bps256,個体
ヒメオドリコソウの花,bps276,個体
ウラシマソウの花,bps277,個体
ヒトリシズカの花,bps279-bps280,個体
ニリンソウの花,bps281,個体
ヒトリシズカの花,bps282,個体
ミノコバイモの花,bps283,個体
カタクリの花,bps284,個体
ヒロハノアマナの果実,bps285,個体
ナンテンの花,bps308-bps309-bps310-bps311,個体
インドゾウ,bps361-bps362,個体
スイギュウ,bps373-bps376,個体
ミノコバイモの蕾,bps380,個体
セツブンソウの花,bps381,個体
ミノコバイモの花,bps382,個体
キバナノアマナの花,bps383,個体
ミノコバイモの花,bps386-bps387,個体
カタクリの花,bps388-bps389,個体
ウメガサソウの花,bps401,個体
ヤマボウシの花,bps403-bps404-bps405,個体
フタリシズカの花,bps406-bps407,個体
クロユリの花,bps408-bps409-bps410,個体
ヤシュウハナゼキショウの花,bps414-bps415,個体
キヌガサソウの花,bps416-bps417,個体
研究室で飼育しているニホンメダカ,pmb001,個体
小胞体ストレスセンサーIRE1aの発現部位でGFPが光るメダカ胚,pmb002,個体
コイタチ,zhe085,個体
ヨツワクガビルのミミズ捕食,zzs121,個体
船越山モンキーパークの金色の体毛を持つニホンザルのメス”ひかり”,zhe086,個体
老眼のメスによる毛づくろい,zhe087,個体
オットンガエルの鼻孔から頭部を覗かせるアマミクガビル,zzs122,個体
オトナメスの木ゆすり,zhe088,個体
メスによるオスへの交尾催促,zhe090,個体
コドモによる紙切れ取り合い遊び,zhe091,個体
オトナメスによるオトナオスへのマウンティング,zhe089,個体
イボウキクサの培養風景,bcb003,個体群
イラン、マラゲーにおける後期中新世化石サイトでの発掘風景,zpa002-zpa007-zpa010,個体群
淡路島のニホンザルによる”サル”文字,zhe011,個体群
屋久島のニホンザルにおける両性群とオスグループの攻撃的な出会い,zhe014,個体群
和歌山県大池地域のタイワンザル交雑群,zhe020,個体群
チンパンジーの肉食,zhe055,個体群
金華山島に生息するニホンザルのオスグループ,zhe065,個体群
小豆島のニホンザルによる大規模な休息集団,zhe069,個体群
マンドリルの大集団の行列,zhe077,個体群
